2025-09-27 08:21:31 | INFO     | utils.multi_model_client:_initialize_clients:76 | ✅ OpenAI client initialized
2025-09-27 08:21:31 | INFO     | utils.multi_model_client:_initialize_clients:81 | ✅ Groq client initialized
2025-09-27 08:21:31 | INFO     | utils.multi_model_client:_initialize_clients:87 | ✅ Google Gemini client initialized
2025-09-27 08:21:31 | INFO     | utils.multi_model_client:_initialize_clients:97 | ✅ Deepseek client initialized
2025-09-27 08:21:32 | INFO     | utils.multi_model_client:_initialize_clients:97 | ✅ Alibaba client initialized
2025-09-27 08:21:32 | INFO     | utils.multi_model_client:_initialize_clients:97 | ✅ Meta client initialized
2025-09-27 08:21:32 | INFO     | utils.multi_model_client:_initialize_clients:97 | ✅ Moonshot client initialized
2025-09-27 08:21:33 | INFO     | utils.multi_model_client:_initialize_clients:97 | ✅ Playai client initialized
2025-09-27 08:21:33 | INFO     | utils.multi_model_client:_initialize_clients:99 | 🚀 MultiModelClient initialized with 8 providers
2025-09-27 08:21:33 | INFO     | agents.base_agent:__init__:30 | Initialized VoiceAgent with ID: 180ff986-1809-4794-9bcf-fad623acdd17 for voice_processing tasks
2025-09-27 08:21:33 | INFO     | agents.voice_agent_minimal:__init__:26 | VoiceAgent 180ff986-1809-4794-9bcf-fad623acdd17 initialized (minimal mode)
2025-09-27 08:21:33 | INFO     | orchestrator_minimal:_initialize_agents:36 | Minimal agents initialized: ['voice']
2025-09-27 08:21:33 | INFO     | orchestrator_minimal:__init__:27 | HealthcareOrchestrator initialized (minimal mode)
2025-09-27 08:21:33 | INFO     | __main__:startup_event:57 | 🚀 Multi-Agent Healthcare System starting up (minimal mode)...
2025-09-27 08:21:33 | INFO     | __main__:startup_event:58 | ✅ System ready for healthcare processing
2025-09-27 11:57:48 | INFO     | utils.multi_model_client:_initialize_clients:76 | ✅ OpenAI client initialized
2025-09-27 11:57:49 | INFO     | utils.multi_model_client:_initialize_clients:81 | ✅ Groq client initialized
2025-09-27 11:57:49 | INFO     | utils.multi_model_client:_initialize_clients:87 | ✅ Google Gemini client initialized
2025-09-27 11:57:49 | INFO     | utils.multi_model_client:_initialize_clients:97 | ✅ Deepseek client initialized
2025-09-27 11:57:49 | INFO     | utils.multi_model_client:_initialize_clients:97 | ✅ Alibaba client initialized
2025-09-27 11:57:49 | INFO     | utils.multi_model_client:_initialize_clients:97 | ✅ Meta client initialized
